sku,main_category,sub_category,child_category,product_name,product_feature_image,product_description,current_price,previous_price,stock,policy,product_type
1wsssct8387,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,"Tropics Shaker Bake
",https://worldshops.co.uk/assets/front/img/no-img.png,"Tropics Shaker Bake. 
All the taste, in less calories.  Shake some of our coating mix into a container, add your chicken pieces, shake then bake.",2.29,,,,normal
1wsssct8388,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,Sana Black Pepper whole 5kg,https://worldshops.co.uk/assets/front/img/no-img.png,"Black pepper (Piper nigrum) is a flowering vine in the family Piperaceae, cultivated for its fruit, known as a peppercorn, which is usually dried and used as a spice and seasoning. When fresh and fully mature, the fruit is about 5 mm (0.20 in) in diameter and dark red, and contains a single seed, like all drupes.

When you think of pepper, you likely envision the black variety. In reality, black peppercorns are green peppercorns that have been cooked and dried out. Black pepper is most commonly used as a seasoning or crust that adds a robust spice to some of our favorite foods: meats, eggs, salads, fries, soups and more

",39.99,,,,normal
1wsssct8389,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,Natco Coarse Black Pepper,https://worldshops.co.uk/assets/front/img/no-img.png,"Natco Coarse Black Pepper (300g) is a necessity for your home - pepper is the world's most popular spice! This is the coarsely ground version, but we also do finely ground and whole peppercorns.",2.69,,,,normal
1wsssct8390,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,Natco Whole Black Pepper,https://worldshops.co.uk/assets/front/img/no-img.png,"Natco Whole Black Pepper (300g)

Sharp and hot flavour with a rich, woody aroma. Perfect way to spice up any meal, ideal for all your cooking needs. It is used to season a wide range of dishes and a great natural way to enhance overall body health. ",2.49,,,,normal
1wsssct8391,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,Heera Black Pepper Whole,https://worldshops.co.uk/assets/front/img/no-img.png,"Heera Black Pepper Whole (100g, 300g and 700g) also known as black peppercorns, is a premium quality selection of the black peppers spice from heera. Popular not just in Indian cuisine, this spice is used throughout the world due to its sharp, pungent flavour and aroma. The whole black pepper adds an extra level of spice to your dishes, but it can also be ground up into a nice, fine powder. ",1.29,,,,normal
1wsssct8392,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,Heera Black Pepper Coarse,https://worldshops.co.uk/assets/front/img/no-img.png,"Heera Black Pepper Coarse (100g and 400g), ground up black pepper spice ready for use in a variety in cuisines and dishes. Popular in the Indian cuisine, black pepper coarse is rough in texture, making it good for table side seasoning and adding to dishes-giving it that sharp, piney and pungent taste to your meals.",1.49,,,,normal
1wsssct8393,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,Heera Black Pepper Powder,https://worldshops.co.uk/assets/front/img/no-img.png,"Heera Black Pepper Powder (100g and 400g) is another premium quality selection of the black pepper range from heera. Produced by grinding up whole black peppercorns into a nice ground powder, it's sharp and pungent flavour is loved by many chefs and cuisines throughout the world. This powder will work excellently as part of your dishes and cooking if you want that extra kick! ",1.29,,,,normal
1wsssct8394,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,East End Ground Black Pepper (Course),https://worldshops.co.uk/assets/front/img/no-img.png,"East End Ground Black Pepper (Course) (Available In 2 Different Sizes) (100g or 300g)

Invaluable in the kitchen, pepper is quite rightly known as the “king of spices’. This spice, which plays an important role in cuisine the world over, is the berry of the plant PIPER NIGRUM. This pepper is Course. 

Perfect for adding seasoning to any food and gives a delicious taste!",1.49,,,,normal
1wsssct8395,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,East End Black Pepper Whole,https://worldshops.co.uk/assets/front/img/no-img.png,"East End Black Pepper Whole (Available In 2 Different Sizes) (300g or 800g)

These whole black pepper have been selected for quality by East End's buyers.
They are an essential part of most Indian cuisine. Suitable for vegetarians!",2.69,,,,normal
1wsssct8396,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,East End Chicken Seasoning,https://worldshops.co.uk/assets/front/img/no-img.png,"East End Chicken Seasoning (400g)

A blend of pure spices full of aroma & flavour. East End's Chicken Seasoning has been selected for its high excellence in quality and taste. An authentic recipe of blended spices prepared from the best ingredients to enhance the flavour of poultry. Marinate by sprinkling on to poultry before cooking for total authenticity.

 Suitable for vegetarians!

",1.29,,,,normal
1wsssct8397,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,Heera Golden Bread Crumbs,https://worldshops.co.uk/assets/front/img/no-img.png,"Heera Golden Bread Crumbs (400g) is a premium quality pack of bread crumbs ready for all your frying, baking and grilling needs. Commonly used as a coating for a variety of food items, they are excellent for giving you that crumbly, crunchy texture you need.",1.29,,,,normal
1wsssct8398,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,"Natco All Purpose Seasoning
",https://worldshops.co.uk/assets/front/img/no-img.png,"Natco All Purpose Seasoning (100g)

All Purpose Seasoning can be used to add flavour to all sorts of foods, such as cooked vegetables, dhal, meats and tofu.

Delicious and Full Of Favour, Try Now!",0.49,,,,normal
1wsssct8399,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,Mill Stone Parsley Herbs,https://worldshops.co.uk/assets/front/img/no-img.png,"Mill Stone Parsley Herbs is a perfect seasoning! 

Parsley keeps your immune system strong, beneficial to your bones and heals the nervous system. It helps flush out excess fluid from the body, supporting kidney function. Regular use of parsley can help control blood pressure. The Folic Acid in this herb is a tonic for the heart

It’s an essential ingredient in French, Italian and Middle Eastern cookery and is especially popular with any fish dish for a distinctive yet subtle flavour!",0.59,,,,normal
1wsssct8400,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,East End Lamb Seasoning,https://worldshops.co.uk/assets/front/img/no-img.png,"East End Lamb Seasoning (100g)

A blend of spices full of aroma & flavour. A subtle blend of herbs and spices designed to create a seasoning suitable for lamb. Suitable for vegetarians!",0.59,,,,normal
1wsssct8401,World Spices,"Salt, Seasonings & Coatings",Seasoning & Coatings,"East End Lemon & Herb Peri Peri Rub
",https://worldshops.co.uk/assets/front/img/no-img.png,"East End Lemon & Herb Peri Peri Rub (100g)

Lemon & Herb Flavourful Rub for the Perfect Peri Peri Chicken, try with other meat, fish and veg!

Instructions:
Generally rub 2 tbsp on 500g of poultry, meat or fish. Allow to stand in chiller for 2 hrs before grilling, roasting or BBQing.
Try sprinkled over potato wedges before cooking for an added spicy twist.

",0.79,,,,normal
